,year,regional_schlüssel,Aus15,Aus16,Aus17,Aus18,Aus19,Aus20,Aus21,Aus22,Aus23,Aus24,Aus25,Aus26,Aus27,Aus28,Aus29,Aus30,Aus31,Aus32,Aus33,Aus34,Aus35,Aus36,Aus37,Aus38,Aus39,Aus40,Aus41,Aus42,Aus43,Aus44,Aus45,Aus46,Aus47,Aus48,Aus49,Aus50,Ausuknwn,Deu15,Deu16,Deu17,Deu18,Deu19,Deu20,Deu21,Deu22,Deu23,Deu24,Deu25,Deu26,Deu27,Deu28,Deu29,Deu30,Deu31,Deu32,Deu33,Deu34,Deu35,Deu36,Deu37,Deu38,Deu39,Deu40,Deu41,Deu42,Deu43,Deu44,Deu45,Deu46,Deu47,Deu48,Deu49,Deu50,Deuuknwn,Austotal,Deutotal,Deu15_20,Aus15_20,Deu21_25,Aus21_25,Deu26_30,Aus26_30,Deu31_35,Aus31_35,Deu36_40,Aus36_40,Deu41_45,Aus41_45,Deu46_50,Aus46_50
44,2000,5166008,0,0,0,0,0,1,0,0,0,1,0,0,2,0,1,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,4,2,6,4,3,4,2,6,16,9,11,3,6,6,6,1,0,1,0,0,1,0,0,0,0,0,5,4,1,1,0,13,106,1,4,1,19,3,37,5,32,1,2,0,1,2,11
45,2000,5166012,0,0,0,0,0,3,2,2,0,1,7,0,1,3,3,2,1,3,4,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,3,1,4,6,10,4,6,9,4,14,5,17,10,24,23,15,26,15,13,0,0,2,1,1,0,0,0,0,0,0,13,9,8,2,0,39,247,3,16,12,33,9,70,11,92,2,4,0,0,2,32
46,2000,5166016,0,0,0,0,1,3,1,1,2,4,5,2,6,3,2,5,2,6,5,3,4,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,110,1,1,1,10,6,10,4,13,13,18,17,19,23,26,27,28,33,27,26,17,0,1,1,1,0,0,0,0,0,0,0,18,9,11,7,0,59,478,4,129,13,58,18,112,20,131,1,3,0,0,3,45
47,2000,5166020,0,1,0,0,0,0,0,0,1,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,1,2,2,3,1,9,3,5,7,12,10,9,19,8,6,6,2,0,0,1,0,0,0,0,0,0,0,3,10,2,2,0,10,126,1,4,3,17,3,37,1,48,0,3,0,0,2,17
48,2000,5166024,0,0,0,0,0,0,2,1,0,0,1,3,2,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,5,1,4,7,6,6,13,10,9,16,17,13,7,5,2,1,2,2,0,0,0,0,0,0,0,7,7,2,4,0,17,153,0,5,4,19,10,44,1,58,1,7,0,0,1,20
49,2000,5166028,0,0,0,0,0,0,0,1,3,0,0,1,3,1,1,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,4,6,2,7,9,11,9,10,21,21,22,20,35,15,16,14,1,0,1,1,0,0,0,1,0,0,0,15,4,6,4,0,21,259,0,8,4,35,6,83,5,100,3,3,0,1,3,29
50,2000,5166032,0,0,0,2,2,6,7,4,4,10,12,8,7,8,12,8,5,6,5,4,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,112,4,4,10,18,16,20,12,22,22,20,27,28,28,37,39,65,53,46,42,31,1,1,4,6,1,0,0,0,0,0,0,18,16,12,6,0,121,721,10,164,37,96,43,159,24,237,0,13,0,0,7,52
51,2000,5166036,0,0,0,1,0,1,0,3,7,6,5,2,2,3,4,4,3,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,3,5,6,4,10,12,10,14,17,20,17,33,41,31,38,40,34,22,1,1,4,1,0,0,0,0,0,0,0,18,13,13,6,0,57,415,2,15,21,50,15,128,13,165,0,7,0,0,6,50
52,2000,5170004,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,3,4,1,1,2,2,4,6,6,7,11,9,8,10,7,7,1,1,2,0,0,0,0,0,0,0,0,10,3,4,2,0,9,115,1,7,0,10,7,34,0,41,0,4,0,0,1,19
53,2000,5170008,0,0,2,5,3,7,11,11,15,12,6,10,12,11,14,9,2,5,4,7,2,0,1,0,0,0,0,0,0,0,0,0,3,2,1,0,0,1,2,1,4,6,8,14,15,16,20,16,15,27,21,36,46,43,32,47,32,24,4,1,4,2,0,0,0,0,0,0,0,18,18,10,13,0,155,496,17,22,55,81,56,145,20,178,1,11,0,0,6,59
