year,regional_schlüssel,kreis_city,eligblvotrs,votrpart,vldsecndvotrs,CDU/CSU ,SPD,GRÜNE,FDP ,DIE LINKE,AfD,Sonstige Parteien
2017,57110000000,"      Bielefeld, Kreisfreie Stadt",237576,75.5,177777,48916,45103,19748,20524,19943,15987,7556
2017,5754,"      Gütersloh, Kreis",263215,75.7,197355,75432,45035,15620,25864,12033,17199,6172
2017,5754004,        Borgholzhausen,6630,77,5066,1644,1318,465,613,360,502,164
2017,57540008008,        Gütersloh,71173,73.2,51596,17418,13121,4743,6192,3604,4892,1626
2017,5754012,        Halle (Westf.),16225,76.5,12309,4122,3189,1175,1494,797,1143,389
2017,5754016,        Harsewinkel,17673,75.5,13175,5376,2830,895,1549,714,1394,417
2017,5754020,        Herzebrock-Clarholz,11970,78.2,9296,3974,1843,596,1326,503,781,273
2017,5754024,        Langenberg,6358,79.1,4979,2202,992,310,660,269,379,167
2017,5754028,        Rheda-Wiedenbrück,32800,75.3,24384,9414,5310,1898,3625,1496,1858,783
2017,5754032,        Rietberg,21575,77.1,16499,8333,2639,1001,2294,687,1040,505
2017,5754036,        Schloß Holte-Stukenbrock,20303,77.2,15489,6178,3151,984,2176,859,1591,550
2017,5754040,"        Steinhagen, Westf",15604,79.3,12279,4184,3088,1023,1758,791,1055,380
2017,5754044,"        Verl, Stadt",18742,77.9,14464,6640,2717,981,1963,675,1086,402
2017,5754048,        Versmold,15522,71.4,10980,3868,3057,730,1374,699,951,301
2017,5754052,        Werther (Westf.),8640,79.6,6839,2079,1780,819,840,579,527,215
2017,5758,"      Herford, Kreis",191877,73.8,140255,44102,40738,9627,15845,9753,15283,4907
2017,5758004,        Bünde,34910,72.6,25105,7747,7336,1633,2795,1724,2968,902
2017,5758008,        Enger,15806,76.6,11978,3792,3570,930,1359,800,1155,372
2017,57580012012,        Herford,48661,70.7,34092,11053,8783,2422,4032,2601,3940,1261
2017,5758016,        Hiddenhausen,15632,78.1,12093,3804,3715,827,1337,736,1270,404
2017,5758020,        Kirchlengern,12686,76.3,9591,2970,3031,590,955,577,1130,338
2017,5758024,        Löhne,30324,72.3,21670,6668,6618,1373,2291,1594,2340,786
2017,5758028,        Rödinghausen,7688,77,5875,1871,1898,301,629,365,589,222
2017,5758032,        Spenge,11593,77.9,8976,2745,2716,787,1004,617,836,271
2017,5758036,        Vlotho,14577,75.2,10875,3452,3071,764,1443,739,1055,351
2017,5762,"      Höxter, Kreis",112543,76.7,85418,36255,18910,4615,10808,4762,7624,2444
2017,5762004,        Bad Driburg,14865,74.8,11027,4484,2228,579,1558,681,1072,425
2017,5762008,        Beverungen,10787,77.1,8243,3696,1862,403,989,463,632,198
2017,5762012,        Borgentreich,7244,79.5,5705,2628,1216,238,769,252,448,154
2017,5762016,        Brakel,12617,75.9,9478,4164,1862,505,1288,497,884,278
2017,5762020,        Höxter,23430,76.2,17712,7314,4099,1042,2221,998,1542,496
2017,5762024,        Marienmünster,4089,80.2,3253,1604,637,185,358,157,243,69
2017,5762028,        Nieheim,4925,79.7,3881,1662,926,180,462,213,341,97
2017,5762032,        Steinheim,10004,76.9,7591,2941,1956,424,970,360,715,225
2017,5762036,        Warburg,18280,77.1,13948,5819,3036,875,1665,892,1297,364
2017,5762040,        Willebadessen,6302,73.8,4580,1943,1088,184,528,249,450,138
2017,5766,"      Lippe, Kreis",268984,75.3,200310,62898,55637,14448,24651,13825,21720,7131
2017,5766004,        Augustdorf,6747,71.8,4740,1753,1110,178,482,254,784,179
2017,57660008008,        Bad Salzuflen,40549,74,29709,9373,7854,1897,4147,2056,3237,1145
2017,5766012,        Barntrup,6768,73.7,4924,1693,1439,288,498,348,518,140
2017,5766016,"        Blomberg, Lippe",12051,76.1,9067,2628,2968,618,1037,691,832,293
2017,5766020,        Detmold,56695,74.9,42035,12735,11306,3744,5068,3481,4153,1548
2017,5766024,        Dörentrup,6304,75.1,4680,1400,1455,341,564,312,437,171
2017,5766028,        Extertal,9436,72.5,6775,2189,1886,370,967,396,742,225
2017,5766032,        Horn-Bad Meinberg,13322,74.4,9776,2998,2767,653,1251,723,989,395
2017,5766036,        Kalletal,11059,74.5,8110,2532,2596,434,843,499,945,261
2017,5766040,"        Lage, Lippe",26425,73.9,19304,6313,5068,1252,2175,1229,2629,638
2017,5766044,        Lemgo,31938,76.7,24224,7504,6705,2102,2902,1624,2464,923
2017,5766048,        Leopoldshöhe,12740,81.1,10235,3372,2719,710,1274,546,1236,378
2017,5766052,        Lügde,7755,76.2,5857,2075,1728,325,668,313,540,208
2017,5766056,        Oerlinghausen,13231,80.2,10509,3210,2819,857,1509,698,1107,309
2017,5766060,        Schieder-Schwalenberg,6737,74.4,4939,1382,1656,326,592,303,524,156
2017,5766064,        Schlangen,7227,76,5426,1741,1561,353,674,352,583,162
2017,5770,"      Minden-Lübbecke, Kreis",241302,73.9,176465,58052,51168,11483,20206,11268,18644,5644
2017,5770004,        Bad Oeynhausen,37099,72.9,26792,8892,7202,1858,3341,1836,2815,848
2017,5770008,        Espelkamp,18182,69.8,12485,4613,2898,577,1187,644,2084,482
2017,5770012,        Hille,12745,79.2,10022,3508,3183,562,1139,551,784,295
2017,5770016,        Hüllhorst,10334,76.9,7884,2735,2273,482,881,470,824,219
2017,5770020,        Lübbecke,19915,73.9,14557,4800,4310,972,1659,946,1450,420
2017,57700024024,"        Minden, Westf",61234,71.8,43569,12340,13979,3251,4599,3320,4599,1481
2017,5770028,        Petershagen,20415,76.9,15583,5219,4741,1012,1822,803,1517,469
2017,5770032,        Porta Westfalica,28643,75.5,21410,6334,6712,1438,2566,1360,2293,707
2017,5770036,        Preußisch Oldendorf,9794,74.9,7250,2498,2063,380,838,426,801,244
2017,5770040,        Rahden,12435,75,9228,3880,2107,492,1131,487,874,257
2017,5770044,        Stemwede,10506,73.9,7685,3233,1700,459,1043,425,603,222
2017,5774,"      Paderborn, Kreis",229056,75,170408,69450,31904,12628,22800,11433,16893,5300
2017,5774004,        Altenbeken,7231,76.5,5486,2222,1113,313,686,365,621,166
2017,5774008,        Bad Lippspringe,11782,71.4,8324,3215,1734,495,1157,577,875,271
2017,5774012,        Borchen,10364,79.6,8187,3285,1640,722,1042,542,743,213
2017,5774016,        Büren,16639,74.4,12280,5413,2446,548,1673,634,1225,341
2017,5774020,        Delbrück,23580,75.9,17758,9250,2595,804,2468,780,1495,366
2017,5774024,        Hövelhof,12597,77.4,9677,4665,1597,593,1253,452,859,258
2017,5774028,"        Lichtenau, Westf",8437,81.4,6807,2976,1351,377,930,345,623,205
2017,5774032,        Paderborn,109650,73.1,79550,28432,15447,7449,10495,6527,8274,2926
2017,5774036,        Salzkotten,19286,78.2,14971,6591,2686,981,2029,881,1434,369
2017,5774040,        Bad Wünnenberg,9490,78.3,7368,3401,1295,346,1067,330,744,185
2017,59,"    Arnsberg, Regierungsbezirk",2674542,74.2,1966424,605944,563541,125879,236897,149369,203537,81257
2017,59110000000,"      Bochum, Kreisfreie Stadt",273708,75.3,204348,50808,62661,17130,21821,20703,21364,9861
2017,59130000000,"      Dortmund, Kreisfreie Stadt",414616,72.3,297339,72789,92937,24892,32596,28430,30707,14988
2017,59140000000,"      Hagen, Kreisfreie Stadt",132850,70.8,93170,26297,27565,4966,11050,6948,11965,4379
2017,59150000000,"      Hamm, Kreisfreie Stadt",126462,72.4,90727,27760,28500,4761,9341,6473,10105,3787
2017,59160000000,"      Herne, Kreisfreie Stadt",111999,70.4,77846,18401,26894,4146,7188,6110,10827,4280
2017,5954,      Ennepe-Ruhr-Kreis,253040,76.5,192048,53959,56750,14849,24942,14887,18847,7814
2017,5954004,        Breckerfeld,7072,79.9,5616,1957,1485,379,760,309,539,187
2017,5954008,        Ennepetal,22839,74.5,16872,5252,4670,1055,2314,1107,1840,634
2017,5954012,        Gevelsberg,23500,75.2,17533,4849,5588,1179,2389,1149,1657,722
2017,5954016,        Hattingen,43625,76.9,33191,9502,9858,2500,4113,2544,3313,1361
2017,5954020,        Herdecke,18970,80.6,15187,4310,4345,1257,2239,1172,1387,477
